Settings,,default,no-redcost,default,no-redcost
,,Time,Time,Status,Status
ProblemName,Seed,,,,
n3seq24,7.0,3600.01,3600.01,timelimit,timelimit
n3seq24,8.0,3600.0,3600.01,timelimit,timelimit
n3seq24,9.0,3600.05,3600.05,timelimit,timelimit
n4-3,0.0,708.22,1090.52,ok,ok
n4-3,1.0,724.96,943.0,ok,ok
n4-3,2.0,803.85,906.12,ok,ok
n4-3,3.0,653.65,820.42,ok,ok
n4-3,4.0,734.6,979.16,ok,ok
n4-3,5.0,713.01,1249.41,ok,ok
n4-3,6.0,753.63,1064.82,ok,ok
n4-3,7.0,700.41,986.28,ok,ok
n4-3,8.0,672.6,1021.7,ok,ok
n4-3,9.0,711.81,1251.49,ok,ok
neos-1109824,0.0,284.76,345.21,ok,ok
neos-1109824,1.0,134.55,190.17,ok,ok
neos-1109824,2.0,96.64,1294.51,ok,ok
neos-1109824,3.0,193.32,305.04,ok,ok
neos-1109824,4.0,118.16,243.17,ok,ok
neos-1109824,5.0,226.04,282.19,ok,ok
neos-1109824,6.0,160.27,221.34,ok,ok
neos-1109824,7.0,85.09,266.68,ok,ok
neos-1109824,8.0,235.34,653.77,ok,ok
neos-1109824,9.0,199.34,188.53,ok,ok
neos-1337307,0.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,1.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,2.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,3.0,3600.0,3600.01,timelimit,timelimit
neos-1337307,4.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,5.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,6.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,7.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,8.0,3600.0,3600.0,timelimit,timelimit
neos-1337307,9.0,3600.0,3600.0,timelimit,timelimit
neos-1396125,0.0,254.57,273.34,ok,ok
neos-1396125,1.0,304.57,265.85,ok,ok
neos-1396125,2.0,219.24,244.77,ok,ok
neos-1396125,3.0,253.38,311.32,ok,ok
neos-1396125,4.0,333.5,291.15,ok,ok
neos-1396125,5.0,349.55,361.94,ok,ok
neos-1396125,6.0,306.74,320.02,ok,ok
neos-1396125,7.0,127.46,117.8,ok,ok
neos-1396125,8.0,325.34,324.45,ok,ok
neos-1396125,9.0,427.96,316.91,ok,ok
neos-1601936,0.0,3600.01,3600.0,timelimit,timelimit
neos-1601936,1.0,3600.01,3600.01,timelimit,timelimit
neos-1601936,2.0,3600.01,3600.0,timelimit,timelimit
neos-1601936,3.0,3600.01,3600.0,timelimit,timelimit
neos-1601936,4.0,3600.01,3600.0,timelimit,timelimit
neos-1601936,5.0,3600.0,3600.01,timelimit,timelimit
neos-1601936,6.0,3600.0,3600.01,timelimit,timelimit
neos-1601936,7.0,3600.0,3600.0,timelimit,timelimit
neos-1601936,8.0,3600.0,3600.0,timelimit,timelimit
neos-1601936,9.0,3600.01,3600.0,timelimit,timelimit
neos-476283,0.0,161.65,348.59,ok,ok
neos-476283,1.0,311.74,206.02,ok,ok
neos-476283,2.0,181.93,255.2,ok,ok
neos-476283,3.0,230.74,281.9,ok,ok
neos-476283,4.0,228.43,177.92,ok,ok
neos-476283,5.0,209.18,260.84,ok,ok
