Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt,PDInt
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air04,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,863.73,5363.55,540.7,700.44,1967.27,545.57,2495.77,5287.66,2173.62,7256.72,5744.0,1064.85,856.26,894.62
air04,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,1483.12,6378.51,1183.63,632.63,2404.07,993.47,5993.85,4009.18,2888.02,7041.41,7529.49,1560.88,1405.6,1298.39
air04,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,753.12,4954.94,379.58,3126.59,1811.88,361.11,6955.29,4407.95,2835.13,6979.2,7479.79,851.2,751.29,829.16
air04,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,936.23,5198.17,483.38,6789.13,1047.7,517.13,3377.84,2954.33,2345.28,9789.12,9337.47,1083.38,926.56,901.02
air05,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,475.94,2114.41,426.25,1109.71,2596.13,359.26,1442.49,1719.13,531.54,2610.8,2336.68,1877.18,477.17,510.1
air05,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,481.54,2080.18,456.09,1829.69,2529.45,392.97,1564.89,1350.97,672.75,1134.39,820.71,1984.79,486.1,607.26
air05,2,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,479.11,1318.21,416.11,1930.43,2267.03,419.4,1568.6,1349.8,563.88,1140.93,2893.02,1587.93,477.94,570.02
air05,3,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,563.75,1635.84,354.23,886.16,1933.97,379.22,1528.35,1452.2,531.93,873.73,2899.7,1255.2,559.21,496.18
air05,4,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,560.39,1256.64,382.08,2005.57,2350.64,471.56,1916.2,1320.05,618.29,1592.62,859.5,1406.57,575.34,546.94
aligninq,0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,66.25,4607.74,170.63,405.24,1296.17,169.85,5626.02,1579.49,73.59,62.15,1065.93,3608.79,65.46,58.0
