Settings,,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off,default,emphasis_easycip,emphasis_feasibility,emphasis_hardlp,emphasis_optimality,heuristics_aggressive,heuristics_fast,heuristics_off,presolving_aggressive,presolving_fast,presolving_off,separating_aggressive,separating_fast,separating_off
,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
ProblemName,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air04,3,66.55,58.92,44.56,56.92,311.81,46.08,87.33,69.89,77.87,123.61,140.15,85.4,64.36,73.79,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air04,4,76.11,64.32,53.16,142.88,116.76,59.24,49.7,46.57,69.64,109.0,148.74,115.66,73.89,64.92,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air05,0,32.52,40.05,41.95,35.67,257.36,40.52,35.73,35.35,35.16,53.31,60.78,135.45,32.22,39.9,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air05,1,31.47,42.3,46.75,51.34,273.14,36.72,39.27,34.27,42.68,65.32,51.4,141.35,31.29,50.44,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air05,2,35.0,43.4,57.81,32.91,231.31,39.13,36.62,35.5,39.0,75.43,65.1,110.44,34.62,40.89,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air05,3,50.12,40.78,44.53,35.96,226.85,34.36,39.95,36.75,35.43,44.0,60.68,96.21,49.13,39.92,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
air05,4,41.72,45.48,44.52,49.9,267.02,38.3,36.01,33.83,37.67,43.3,48.83,96.09,42.76,38.1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aligninq,0,10.07,47.74,10.9,9.8,58.45,11.56,58.19,21.47,10.33,8.43,17.43,43.61,10.19,7.29,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aligninq,1,169.44,19.2,235.98,7.62,147.78,103.48,19.89,21.36,67.53,105.08,15.16,49.3,169.41,164.03,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aligninq,2,62.48,15.56,12.86,9.1,128.91,12.65,15.72,44.53,61.68,78.38,10.2,161.52,62.82,62.34,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aligninq,3,14.81,12.6,11.99,11.04,115.02,12.08,12.38,21.47,14.04,14.77,10.46,33.41,15.05,15.35,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
aligninq,4,10.15,15.58,11.59,11.17,102.35,11.52,14.56,22.11,8.91,9.1,17.67,25.72,10.12,6.79,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
